Worksheet exported from: C:\Users\USD\Documents\Agilent\ICP Expert\My Results\CHEM 220\Allie and Jayda.esws,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument name,MY2134CQ01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software version,7.6.0.12121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Firmware version,5590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Label,Rack:Tube,Type,Date Time,Element,Element Label,Flags,Unadjusted Data,Concentration,Unit,Intensity,Concentration SD,Concentration % RSD,Intensity SD,Intensity % RSD,%RSE,Weight,Volume,Dilution,Internal Standard,Calibration fit,Correlation coefficient,Background correction,%RSE limit,Calibration Coefficient [1],Calibration Coefficient [2],Calibration Coefficient [3],LIMS ID,Customer,Customer Ref.,Sample Date Time,Sample Site,Description,Replicates,Concentration Replicate 1,Concentration Replicate 2,Concentration Replicate 3,Intensity Replicate 1,Intensity Replicate 2,Intensity Replicate 3,Flags Replicate 1,Flags Replicate 2,Flags Replicate 3
Standard 8,4:9,STD,2/27/2023 18:15,Cu 327.395,Cu,,10,10,ppm,109634.16,-,-,317.16,0.29,60.42,-,-,-,-,Linear,0.94717,Fitted,-,290.0292263,10718.71906,-,,,,,,,3,10,10,10,109501.42,109404.94,109996.12,,,
Standard 8,4:9,STD,2/27/2023 18:15,Fe 238.204,Fe,,10,10,ppm,206671.14,-,-,646.47,0.31,79.94,-,-,-,-,Linear,0.95324,Fitted,-,356.358849,19091.67973,-,,,,,,,3,10,10,10,206356.43,206242.27,207414.7,,,
Standard 8,4:9,STD,2/27/2023 18:15,Pb 217.000,Pb,,10,10,ppm,3984.89,-,-,12.97,0.33,76.17,-,-,-,-,Linear,0.96464,Fitted,-,50.51547552,491.9908055,-,,,,,,,3,10,10,10,3980.23,3974.89,3999.54,,,
Standard 9,4:10,STD,2/27/2023 18:17,Cu 327.395,Cu,,25,25,ppm,117392.24,-,-,1129.56,0.96,60.42,-,-,-,-,Linear,0.94717,Fitted,-,290.0292263,10718.71906,-,,,,,,,3,25,25,25,118536.02,117363.23,116277.46,,,
Standard 9,4:10,STD,2/27/2023 18:17,Fe 238.204,Fe,,25,25,ppm,190376.16,-,-,1706.22,0.9,79.94,-,-,-,-,Linear,0.95324,Fitted,-,356.358849,19091.67973,-,,,,,,,3,25,25,25,192075.4,190390.05,188663.04,,,
Standard 9,4:10,STD,2/27/2023 18:17,Pb 217.000,Pb,,25,25,ppm,6252.79,-,-,57.79,0.92,76.17,-,-,-,-,Linear,0.96464,Fitted,-,50.51547552,491.9908055,-,,,,,,,3,25,25,25,6315.02,6242.55,6200.81,,,
Standard 10,4:11,STD,2/27/2023 18:19,Cu 327.395,Cu,,50,50,ppm,506173.46,-,-,1849.81,0.37,60.42,-,-,-,-,Linear,0.94717,Fitted,-,290.0292263,10718.71906,-,,,,,,,3,50,50,50,507662.41,504102.69,506755.28,,,
Standard 10,4:11,STD,2/27/2023 18:19,Fe 238.204,Fe,,50,50,ppm,825667.88,-,-,3004.02,0.36,79.94,-,-,-,-,Linear,0.95324,Fitted,-,356.358849,19091.67973,-,,,,,,,3,50,50,50,827847.17,822241.11,826915.35,,,
Standard 10,4:11,STD,2/27/2023 18:19,Pb 217.000,Pb,,50,50,ppm,25788.65,-,-,105.37,0.41,76.17,-,-,-,-,Linear,0.96464,Fitted,-,50.51547552,491.9908055,-,,,,,,,3,50,50,50,25910.07,25721.26,25734.62,,,
Sample 1,4:12,Sample,2/27/2023 18:20,Cu 327.395,Cu,,Uncal,Uncal,ppm,22105.22,-,-,97.71,0.44,60.42,1,1,1,-,Linear,0.94717,Fitted,-,290.0292263,10718.71906,-,,,,,,,3,Uncal,Uncal,Uncal,22191.21,21998.97,22125.46,Uncal,Uncal,Uncal
Sample 1,4:12,Sample,2/27/2023 18:20,Fe 238.204,Fe,,Uncal,Uncal,ppm,29236.33,-,-,119.74,0.41,79.94,1,1,1,-,Linear,0.95324,Fitted,-,356.358849,19091.67973,-,,,,,,,3,Uncal,Uncal,Uncal,29329.95,29101.41,29277.64,Uncal,Uncal,Uncal
Sample 1,4:12,Sample,2/27/2023 18:20,Pb 217.000,Pb,,Uncal,Uncal,ppm,792.97,-,-,15.23,1.92,76.17,1,1,1,-,Linear,0.96464,Fitted,-,50.51547552,491.9908055,-,,,,,,,3,Uncal,Uncal,Uncal,810.25,781.52,787.13,Uncal,Uncal,Uncal
Sample 2,4:13,Sample,2/27/2023 18:22,Cu 327.395,Cu,,Uncal,Uncal,ppm,84.36,-,-,24.48,29.02,60.42,1,1,1,-,Linear,0.94717,Fitted,-,290.0292263,10718.71906,-,,,,,,,3,Uncal,Uncal,Uncal,60.93,82.4,109.77,Uncal,Uncal,Uncal
Sample 2,4:13,Sample,2/27/2023 18:22,Fe 238.204,Fe,,Uncal,Uncal,ppm,70.92,-,-,10.33,14.56,79.94,1,1,1,-,Linear,0.95324,Fitted,-,356.358849,19091.67973,-,,,,,,,3,Uncal,Uncal,Uncal,67.19,62.98,82.6,Uncal,Uncal,Uncal
Sample 2,4:13,Sample,2/27/2023 18:22,Pb 217.000,Pb,,Uncal,Uncal,ppm,14.02,-,-,6.63,47.27,76.17,1,1,1,-,Linear,0.96464,Fitted,-,50.51547552,491.9908055,-,,,,,,,3,Uncal,Uncal,Uncal,16.69,18.88,6.47,Uncal,Uncal,Uncal
Sample 3,4:14,Sample,2/27/2023 18:23,Cu 327.395,Cu,,Uncal,Uncal,ppm,10479.47,-,-,21.69,0.21,60.42,1,1,1,-,Linear,0.94717,Fitted,-,290.0292263,10718.71906,-,,,,,,,3,Uncal,Uncal,Uncal,10463.3,10504.11,10471,Uncal,Uncal,Uncal
Sample 3,4:14,Sample,2/27/2023 18:23,Fe 238.204,Fe,,Uncal,Uncal,ppm,13610.96,-,-,34.97,0.26,79.94,1,1,1,-,Linear,0.95324,Fitted,-,356.358849,19091.67973,-,,,,,,,3,Uncal,Uncal,Uncal,13592.69,13651.28,13588.9,Uncal,Uncal,Uncal
Sample 3,4:14,Sample,2/27/2023 18:23,Pb 217.000,Pb,,Uncal,Uncal,ppm,369.29,-,-,3.34,0.9,76.17,1,1,1,-,Linear,0.96464,Fitted,-,50.51547552,491.9908055,-,,,,,,,3,Uncal,Uncal,Uncal,367.06,367.69,373.14,Uncal,Uncal,Uncal
