Worksheet exported from: C:\Users\USD\Documents\Agilent\ICP Expert\My Results\CHEM 220\hannah_analiese_atomic_emission.esws,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument name,MY2134CQ01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software version,7.6.0.12121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Firmware version,5590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Label,Rack:Tube,Type,Date Time,Element,Element Label,Flags,Unadjusted Data,Concentration,Unit,Intensity,Concentration SD,Concentration % RSD,Intensity SD,Intensity % RSD,%RSE,Weight,Volume,Dilution,Internal Standard,Calibration fit,Correlation coefficient,Background correction,%RSE limit,Calibration Coefficient [1],Calibration Coefficient [2],Calibration Coefficient [3],LIMS ID,Customer,Customer Ref.,Sample Date Time,Sample Site,Description,Replicates,Concentration Replicate 1,Concentration Replicate 2,Concentration Replicate 3,Intensity Replicate 1,Intensity Replicate 2,Intensity Replicate 3,Flags Replicate 1,Flags Replicate 2,Flags Replicate 3
Standard 3,2:4,STD,2/27/2023 17:13,Fe 238.204,Fe,,1,1,ppm,17380.04,-,-,118.59,0.68,49.29,-,-,-,-,Linear,0.98587,Fitted,-,153.9102114,10589.12835,-,,,,,,,3,1,1,1,17508.17,17357.82,17274.13,,,
Standard 3,2:4,STD,2/27/2023 17:13,Pb 217.000,Pb,,1,1,ppm,481.63,-,-,11.87,2.46,203.47,-,-,-,-,Linear,0.99,Fitted,-,-173.660323,362.0059393,-,,,,,,,3,1,1,1,492.38,468.89,483.61,,,
Standard 4,2:5,STD,2/27/2023 17:15,Cu 327.395,Cu,,2,2,ppm,12749.29,-,-,59.27,0.46,49.1,-,-,-,-,Linear,0.96781,Fitted,-,516.3970732,7122.125447,-,,,,,,,3,2,2,2,12681.64,12774.16,12792.07,,,
Standard 4,2:5,STD,2/27/2023 17:15,Fe 238.204,Fe,,2,2,ppm,18030.16,-,-,41.22,0.23,49.29,-,-,-,-,Linear,0.98587,Fitted,-,153.9102114,10589.12835,-,,,,,,,3,2,2,2,17983.31,18060.83,18046.35,,,
Standard 4,2:5,STD,2/27/2023 17:15,Pb 217.000,Pb,,2,2,ppm,466.74,-,-,2.24,0.48,203.47,-,-,-,-,Linear,0.99,Fitted,-,-173.660323,362.0059393,-,,,,,,,3,2,2,2,464.35,467.1,468.78,,,
Standard 5,2:6,STD,2/27/2023 17:17,Cu 327.395,Cu,,4,4,ppm,45128.74,-,-,406.9,0.9,49.1,-,-,-,-,Linear,0.96781,Fitted,-,516.3970732,7122.125447,-,,,,,,,3,4,4,4,45078.72,45558.35,44749.17,,,
Standard 5,2:6,STD,2/27/2023 17:17,Fe 238.204,Fe,,4,4,ppm,59575.27,-,-,508.24,0.85,49.29,-,-,-,-,Linear,0.98587,Fitted,-,153.9102114,10589.12835,-,,,,,,,3,4,4,4,59377.61,60152.65,59195.56,,,
Standard 5,2:6,STD,2/27/2023 17:17,Pb 217.000,Pb,,4,4,ppm,1577.95,-,-,7.59,0.48,203.47,-,-,-,-,Linear,0.99,Fitted,-,-173.660323,362.0059393,-,,,,,,,3,4,4,4,1581.85,1582.79,1569.2,,,
Standard 6,2:7,STD,2/27/2023 17:19,Cu 327.395,Cu,,6,6,ppm,44125.17,-,-,217.25,0.49,49.1,-,-,-,-,Linear,0.96781,Fitted,-,516.3970732,7122.125447,-,,,,,,,3,6,6,6,44093.01,43925.78,44356.7,,,
Standard 6,2:7,STD,2/27/2023 17:19,Fe 238.204,Fe,,6,6,ppm,58475.29,-,-,209.18,0.36,49.29,-,-,-,-,Linear,0.98587,Fitted,-,153.9102114,10589.12835,-,,,,,,,3,6,6,6,58401.31,58313.15,58711.41,,,
Standard 6,2:7,STD,2/27/2023 17:19,Pb 217.000,Pb,,6,6,ppm,1233.88,-,-,6.62,0.54,203.47,-,-,-,-,Linear,0.99,Fitted,-,-173.660323,362.0059393,-,,,,,,,3,6,6,6,1238.54,1226.3,1236.8,,,
Standard 7,2:8,STD,2/27/2023 17:21,Cu 327.395,Cu,,8,8,ppm,86517.77,-,-,751.36,0.87,49.1,-,-,-,-,Linear,0.96781,Fitted,-,516.3970732,7122.125447,-,,,,,,,3,8,8,8,85811.05,86435.31,87306.96,,,
Standard 7,2:8,STD,2/27/2023 17:21,Fe 238.204,Fe,,8,8,ppm,114405.09,-,-,952.07,0.83,49.29,-,-,-,-,Linear,0.98587,Fitted,-,153.9102114,10589.12835,-,,,,,,,3,8,8,8,113585.07,114180.99,115449.22,,,
Standard 7,2:8,STD,2/27/2023 17:21,Pb 217.000,Pb,,8,8,ppm,3058.49,-,-,5.06,0.17,203.47,-,-,-,-,Linear,0.99,Fitted,-,-173.660323,362.0059393,-,,,,,,,3,8,8,8,3053.73,3057.94,3063.8,,,
Standard 8,2:9,STD,2/27/2023 17:22,Cu 327.395,Cu,,10,10,ppm,110082.62,-,-,343.71,0.31,49.1,-,-,-,-,Linear,0.96781,Fitted,-,516.3970732,7122.125447,-,,,,,,,3,10,10,10,110443.57,110045.03,109759.24,,,
Standard 8,2:9,STD,2/27/2023 17:22,Fe 238.204,Fe,,10,10,ppm,149783.81,-,-,445.44,0.3,49.29,-,-,-,-,Linear,0.98587,Fitted,-,153.9102114,10589.12835,-,,,,,,,3,10,10,10,150165.07,149892.16,149294.18,,,
Standard 8,2:9,STD,2/27/2023 17:22,Pb 217.000,Pb,,10,10,ppm,3902.51,-,-,17.6,0.45,203.47,-,-,-,-,Linear,0.99,Fitted,-,-173.660323,362.0059393,-,,,,,,,3,10,10,10,3911.99,3913.34,3882.2,,,
Standard 9,2:10,STD,2/27/2023 17:24,Cu 327.395,Cu,,25,25,ppm,114029.99,-,-,557.92,0.49,49.1,-,-,-,-,Linear,0.96781,Fitted,-,516.3970732,7122.125447,-,,,,,,,3,25,25,25,113798.54,114666.39,113625.04,,,
Standard 9,2:10,STD,2/27/2023 17:24,Fe 238.204,Fe,,25,25,ppm,232857.5,-,-,1020.79,0.44,49.29,-,-,-,-,Linear,0.98587,Fitted,-,153.9102114,10589.12835,-,,,,,,,3,25,25,25,232555.87,233995.12,232021.51,,,
Standard 9,2:10,STD,2/27/2023 17:24,Pb 217.000,Pb,,25,25,ppm,6775.98,-,-,50.96,0.75,203.47,-,-,-,-,Linear,0.99,Fitted,-,-173.660323,362.0059393,-,,,,,,,3,25,25,25,6773.25,6828.26,6726.44,,,
Standard 10,2:11,STD,2/27/2023 17:26,Cu 327.395,Cu,,50,50,ppm,423554.73,-,-,1599.33,0.38,49.1,-,-,-,-,Linear,0.96781,Fitted,-,516.3970732,7122.125447,-,,,,,,,3,50,50,50,423468.59,425195.39,422000.21,,,
Standard 10,2:11,STD,2/27/2023 17:26,Fe 238.204,Fe,,50,50,ppm,699298.35,-,-,2721.15,0.39,49.29,-,-,-,-,Linear,0.98587,Fitted,-,153.9102114,10589.12835,-,,,,,,,3,50,50,50,699047.33,702136.32,696711.41,,,
Standard 10,2:11,STD,2/27/2023 17:26,Pb 217.000,Pb,,50,50,ppm,18566.43,-,-,47.43,0.26,203.47,-,-,-,-,Linear,0.99,Fitted,-,-173.660323,362.0059393,-,,,,,,,3,50,50,50,18564.66,18614.72,18519.9,,,
Sample 1,2:12,Sample,2/27/2023 17:28,Cu 327.395,Cu,,Uncal,Uncal,ppm,19136.79,-,-,100.88,0.53,49.1,1,1,1,-,Linear,0.96781,Fitted,-,516.3970732,7122.125447,-,,,,,,,3,Uncal,Uncal,Uncal,19252.07,19064.67,19093.62,Uncal,Uncal,Uncal
Sample 1,2:12,Sample,2/27/2023 17:28,Fe 238.204,Fe,,Uncal,Uncal,ppm,25173.12,-,-,83.89,0.33,49.29,1,1,1,-,Linear,0.98587,Fitted,-,153.9102114,10589.12835,-,,,,,,,3,Uncal,Uncal,Uncal,25268.85,25138.11,25112.41,Uncal,Uncal,Uncal
Sample 1,2:12,Sample,2/27/2023 17:28,Pb 217.000,Pb,,Uncal,Uncal,ppm,731.66,-,-,15.09,2.06,203.47,1,1,1,-,Linear,0.99,Fitted,-,-173.660323,362.0059393,-,,,,,,,3,Uncal,Uncal,Uncal,743.91,714.81,736.27,Uncal,Uncal,Uncal
Sample 2,2:13,Sample,2/27/2023 17:30,Cu 327.395,Cu,,Uncal,Uncal,ppm,22588.15,-,-,134.03,0.59,49.1,1,1,1,-,Linear,0.96781,Fitted,-,516.3970732,7122.125447,-,,,,,,,3,Uncal,Uncal,Uncal,22620.45,22703.08,22440.92,Uncal,Uncal,Uncal
Sample 2,2:13,Sample,2/27/2023 17:30,Fe 238.204,Fe,,Uncal,Uncal,ppm,57042.76,-,-,235.37,0.41,49.29,1,1,1,-,Linear,0.98587,Fitted,-,153.9102114,10589.12835,-,,,,,,,3,Uncal,Uncal,Uncal,57181.52,57175.76,56770.99,Uncal,Uncal,Uncal
Sample 2,2:13,Sample,2/27/2023 17:30,Pb 217.000,Pb,,Uncal,Uncal,ppm,221.07,-,-,10.69,4.84,203.47,1,1,1,-,Linear,0.99,Fitted,-,-173.660323,362.0059393,-,,,,,,,3,Uncal,Uncal,Uncal,224.75,209.02,229.43,Uncal,Uncal,Uncal
Sample 3,2:14,Sample,2/27/2023 17:32,Cu 327.395,Cu,,Uncal,Uncal,ppm,30481.06,-,-,114.64,0.38,49.1,1,1,1,-,Linear,0.96781,Fitted,-,516.3970732,7122.125447,-,,,,,,,3,Uncal,Uncal,Uncal,30611.66,30434.44,30397.07,Uncal,Uncal,Uncal
Sample 3,2:14,Sample,2/27/2023 17:32,Fe 238.204,Fe,,Uncal,Uncal,ppm,64487.11,-,-,473.22,0.73,49.29,1,1,1,-,Linear,0.98587,Fitted,-,153.9102114,10589.12835,-,,,,,,,3,Uncal,Uncal,Uncal,65019.29,64328.39,64113.66,Uncal,Uncal,Uncal
Sample 3,2:14,Sample,2/27/2023 17:32,Pb 217.000,Pb,,Uncal,Uncal,ppm,556.45,-,-,6.66,1.2,203.47,1,1,1,-,Linear,0.99,Fitted,-,-173.660323,362.0059393,-,,,,,,,3,Uncal,Uncal,Uncal,555.63,563.49,550.24,Uncal,Uncal,Uncal
