StationName,StationCode,RegionName,Analyte,Trend,LastSampleDate,LastResult,Unit
Canada de la Gaviota at Highway 1,315GAI,Central Coast,"Lead, Total",Insufficient data,1/16/2020,0.045,ug/L
Santa Ynez River at Highway 101,314SYI,Central Coast,"Lead, Total",Insufficient data,1/21/2020,0.045,ug/L
Glenn Annie Creek at Los Carneros Road,315ANN,Central Coast,"Lead, Total",Insufficient data,1/14/2020,0.045,ug/L
Santa Monica Creek @ Carpinteria Avenue,315SMC,Central Coast,"Lead, Total",Insufficient data,1/13/2020,0.045,ug/L
Tecolote Creek @ Bacara Resort access Road,315TCI,Central Coast,"Lead, Total",Insufficient data,1/16/2020,0.045,ug/L
Bell Ck on Bacara Resort Access Road,315BEL,Central Coast,"Lead, Total",Insufficient data,1/16/2020,0.045,ug/L
Arroyo Paredon Creek at Via Real,315APC,Central Coast,"Lead, Total",Insufficient data,1/13/2020,0.52,ug/L
Ulatis Creek at Brown Road,511ULCABR,Central Valley,"Lead, Total",Insufficient data,9/3/2020,12.8,mg/Kg dw
Romero Creek @ Jamison Lane,315ROM,Central Coast,"Lead, Total",Insufficient data,1/13/2020,0.045,ug/L
Downriver_2_Riverside Water Quality Control Plant,Downriver_2_RWQCP,Santa Ana,"Lead, Total",Insufficient data,7/8/2020,5,ug/L
Upriver_1,Upriver_1,Santa Ana,"Lead, Total",Insufficient data,7/8/2020,0.27,ug/L
Butte Slough @ Meridian,520BUTEMR,Central Valley,"Lead, Total",Insufficient data,8/19/2008,8.6,mg/Kg dw
Butte Creek below Western Canal Siphon,520BUT902,Central Valley,"Lead, Total",Insufficient data,3/12/2020,0.5,ug/L
Pit @ Pittville Bridge,526P00008,Central Valley,"Lead, Total",Insufficient data,6/30/2008,9.935,mg/Kg dw
Santa Ynez River at Paradise Road,314SYP,Central Coast,"Lead, Total",Insufficient data,1/21/2020,0.045,ug/L
Santa Ynez River d/s Lake Cachuma at Highway 154,314SYC,Central Coast,"Lead, Total",Insufficient data,1/21/2020,0.17,ug/L
Pilarcitos Creek 180m d/s of Hwy 1,202PIL050,San Francisco Bay,"Lead, Total",Insufficient data,8/22/2019,6.82,mg/Kg dw
Dry Creek at Durham Pentz Highway,521BUT209,Central Valley,"Lead, Total",Insufficient data,11/13/2019,0.25,ug/L
Little Butte Creek at Butte Island Bridge,521BUT203,Central Valley,"Lead, Total",Insufficient data,3/12/2020,7.22,ug/L
Clear Creek at Durham Pentz Highway,520BUT208,Central Valley,"Lead, Total",Insufficient data,11/13/2019,0.25,ug/L
Butte Creek at Helltown Road,521BUT202,Central Valley,"Lead, Total",Insufficient data,3/12/2020,2.45,ug/L
Butte Creek at USGS Gage near Chico (BCGGE),520BUT201,Central Valley,"Lead, Total",Insufficient data,3/12/2020,2.45,ug/L
Hamlin Creek at Paradise,521BUT204,Central Valley,"Lead, Total",Insufficient data,11/13/2019,0.25,ug/L
Arroyo de la Cruz at Highway 1,310ADC,Central Coast,"Lead, Total",Insufficient data,6/8/2016,0.015,ug/L
Atascadero Creek @ Patterson Avenue,315ATU,Central Coast,"Lead, Total",Insufficient data,1/14/2020,0.045,ug/L
Mission Creek at Foothill Road,315MIU,Central Coast,"Lead, Total",Insufficient data,1/13/2020,0.045,ug/L
Montecito Creek at Jamison Lane,315MTC,Central Coast,"Lead, Total",Insufficient data,1/13/2020,0.045,ug/L
Carpinteria Creek at 8th Street foot bridge,315CRP,Central Coast,"Lead, Total",Insufficient data,1/13/2020,0.045,ug/L
Sycamore Creek at Punta Gorda,315SCC,Central Coast,"Lead, Total",Insufficient data,1/13/2020,0.045,ug/L
Carpinteria Creek at Highway 192,315CAU,Central Coast,"Lead, Total",Insufficient data,1/13/2020,0.045,ug/L
Little Dry Creek at Durham Pentz Highway,520BUT207,Central Valley,"Lead, Total",Insufficient data,5/15/2019,95.5,ug/L
T Drain Tributary at Beal and wister road,723STTDRN,Colorado River,"Lead, Total",Insufficient data,1/14/2020,18.6,mg/Kg dw
R Drain Tributary at Alcott and wister road,723STRDRN,Colorado River,"Lead, Total",Insufficient data,1/14/2020,17.1,mg/Kg dw
S Drain Tributary at Noffsinger and wister road,723STSDRN,Colorado River,"Lead, Total",Insufficient data,1/14/2020,20.2,mg/Kg dw
Q Drain Tributary at Pound and wister road,723STQDRN,Colorado River,"Lead, Total",Insufficient data,1/14/2020,16.3,mg/Kg dw
P Drain Tributary at Hazard and wister road,723STPDRN,Colorado River,"Lead, Total",Insufficient data,1/14/2020,12.3,mg/Kg dw
San Ysidro Creek @ Jamison Lane,315YSI,Central Coast,"Lead, Total",Insufficient data,1/13/2020,0.045,ug/L
O Drain Tributary off MCDonald rd. ,723STODRN,Colorado River,"Lead, Total",Insufficient data,1/9/2020,17,mg/Kg dw
Lateral 3 Drain Tributary off Garst road,723STLD03,Colorado River,"Lead, Total",Insufficient data,1/9/2020,19,mg/Kg dw
Lateral 4A Drain Tributary off Gentry road,723STLD4A,Colorado River,"Lead, Total",Insufficient data,1/9/2020,17.6,mg/Kg dw
K Drain Tributary at Boyle and Sinclair road,723STKDRN,Colorado River,"Lead, Total",Insufficient data,1/8/2020,15.4,mg/Kg dw
Vail Drain Near Young,723IPYG46,Colorado River,"Lead, Total",Insufficient data,1/8/2020,14.8,mg/Kg dw
Lateral 5 Drain Tributary terminus McKendry and Severe road,723STLD05,Colorado River,"Lead, Total",Insufficient data,1/8/2020,13.8,mg/Kg dw
Lateral 12_Drain Tributary terminus of Bruchard road,723STLD12,Colorado River,"Lead, Total",Insufficient data,1/8/2020,14.6,mg/Kg dw
Lateral Unknown Drain 1 Tributary corner of West Lindsey and Lack road,723STUD01,Colorado River,"Lead, Total",Insufficient data,1/8/2020,17.2,mg/Kg dw
Lateral 5A Drain Tributary at Grubel and Grummer road,723STLD5A,Colorado River,"Lead, Total",Insufficient data,1/8/2020,36.3,mg/Kg dw
Lateral 8_Drain Tributary terminus Grubel and Lack road,723STLD08,Colorado River,"Lead, Total",Insufficient data,1/8/2020,15.2,mg/Kg dw
Lateral 17_Drain Tributary near terminus of Poe road,723STLD17,Colorado River,"Lead, Total",Insufficient data,1/7/2020,9.81,mg/Kg dw
Lateral 15_Drain Tributary terminus of Vendel road,723STLD15,Colorado River,"Lead, Total",Insufficient data,1/7/2020,15.8,mg/Kg dw
Salton Sea Drain S3 (Trifolium TD1),723SSDS03,Colorado River,"Lead, Total",Insufficient data,1/7/2020,10.4,mg/Kg dw
Lateral 13_Drain Tributary terminus of Baker road,723STLD13,Colorado River,"Lead, Total",Insufficient data,1/7/2020,13.6,mg/Kg dw
Lateral 14_Drain Tributary at Baker and Vendel road,723STLD14,Colorado River,"Lead, Total",Insufficient data,1/7/2020,23.7,mg/Kg dw
Lateral Unknown Drain 5 Tributary near West Howenstein Rd,723STUD05,Colorado River,"Lead, Total",Insufficient data,1/7/2020,15.8,mg/Kg dw
Orcutt Creek at Brown Road,312GVT,Central Coast,"Lead, Total",Insufficient data,12/12/2019,0.22,ug/L
Orcutt Solomon Creek at Black Road,312ORB,Central Coast,"Lead, Total",Insufficient data,12/12/2019,0.045,ug/L
Oso Flaco Lake @ culvert,312OFL,Central Coast,"Lead, Total",Insufficient data,12/12/2019,0.12,ug/L
Orcutt Creek @ Solomon Rd,312ORS,Central Coast,"Lead, Total",Insufficient data,12/12/2019,0.69,ug/L
Huasna River at School Road,312HUA,Central Coast,"Lead, Total",Insufficient data,12/4/2019,0.045,ug/L
Cuyama River at Highway 33,312CAV,Central Coast,"Lead, Total",Insufficient data,12/4/2019,3.52,ug/L
Main Street Canal at daylight point,312MSS,Central Coast,"Lead, Total",Insufficient data,12/4/2019,13.3,ug/L
Bradley Channel above ponds at Magellan Drive,312BCU,Central Coast,"Lead, Total",Insufficient data,12/4/2019,6.6,ug/L
Cuyama River below Twitchell @ White Rock Lane,312CUT,Central Coast,"Lead, Total",Insufficient data,12/4/2019,0.045,ug/L
Cuyama River below Cottonwood Canyon,312CCC,Central Coast,"Lead, Total",Insufficient data,12/4/2019,0.03,ug/L
Blosser Channel below groundwater recharge ponds,312BCD,Central Coast,"Lead, Total",Insufficient data,12/4/2019,2.75,ug/L
Nipomo Creek at Highway 166,312NIP,Central Coast,"Lead, Total",Insufficient data,12/4/2019,0.95,ug/L
Nipomo Creek at Tefft Street,312NIT,Central Coast,"Lead, Total",Insufficient data,12/4/2019,0.45,ug/L
Santa Maria River at Bull Canyon Road,312SBC,Central Coast,"Lead, Total",Insufficient data,6/11/2019,3.72,ug/L
Cuyama River downstream Buckhorn Rd,312CUY,Central Coast,"Lead, Total",Insufficient data,6/18/2019,0.045,ug/L
Belleville/Barranca,205STE060,San Francisco Bay,"Lead, Total",Insufficient data,8/28/2019,9.62,mg/Kg dw
Charleston Rd,205PER010,San Francisco Bay,"Lead, Total",Insufficient data,8/28/2019,38.5,mg/Kg dw
Permanente Creek at Heritage Oak Park,205PER045,San Francisco Bay,"Lead, Total",Insufficient data,8/28/2019,11.3,mg/Kg dw
Arroyo Leon at Colonel Way,202ALN150,San Francisco Bay,"Lead, Total",Insufficient data,8/22/2019,8.54,mg/Kg dw
Pilarcitos Creek between Corinda Los Trancos and Apanolio Creek,202PIL200,San Francisco Bay,"Lead, Total",Insufficient data,8/21/2019,10.7,mg/Kg dw
Pilarcitos Creek ~600ft u/s of xmas tree farm gate,202PIL400,San Francisco Bay,"Lead, Total",Insufficient data,8/21/2019,8.46,mg/Kg dw
Garcia River below Mill Creek,113GAR105,North Coast,"Lead, Total",Insufficient data,6/20/2011,0.015,ug/L
Fisher Creek 100 m u/s of railroad xing,205FSH050,San Francisco Bay,"Lead, Total",Insufficient data,8/20/2019,12.75,mg/Kg dw
Coyote Creek 400m u/s of Silicon Valley Blvd,205COY364,San Francisco Bay,"Lead, Total",Insufficient data,8/20/2019,11,mg/Kg dw
Inman Creek above Garcia River,113GAR023,North Coast,"Lead, Total",Insufficient data,8/5/2013,0.015,ug/L
Blue Waterhole Creek above Garcia River,113GAR112,North Coast,"Lead, Total",Insufficient data,8/5/2013,0.037,ug/L
Coyote Cr d/s of  Burnette Ave,205COY450,San Francisco Bay,"Lead, Total",Insufficient data,8/19/2019,8.8,mg/Kg dw
Coyote Creek ~1.1mi below Hwy 101,205COY442,San Francisco Bay,"Lead, Total",Insufficient data,8/19/2019,15.9,mg/Kg dw
Eel River - M Fork at Dos Rios,111MF0034,North Coast,"Lead, Total",Insufficient data,7/19/2010,0.015,ug/L
Eel River above Dos Rios,111ER6140,North Coast,"Lead, Total",Insufficient data,7/19/2010,0.015,ug/L
Russian River above Hopland,114RR7396,North Coast,"Lead, Total",Insufficient data,12/20/2017,0.08,ug/L
Russian River at Syar Pond,114RR2678,North Coast,"Lead, Total",Insufficient data,11/29/2011,0.015,ug/L
Signal Creek at Big Cheese Road,113GAR178,North Coast,"Lead, Total",Insufficient data,9/9/2013,0.015,ug/L
Garcia River at SF Garcia at Eagles Bend,113GAR030,North Coast,"Lead, Total",Insufficient data,8/28/2012,0.015,ug/L
Russian River at Alexander Valley Road,114RR4234,North Coast,"Lead, Total",Insufficient data,6/25/2001,50,ug/L
Russian River at Odd Fellows Crossing,114RR1644,North Coast,"Lead, Total",Insufficient data,12/1/2011,0.07,ug/L
Sisquoc River at Tepusquet Rd. bridge,312TEP,Central Coast,"Lead, Total",Insufficient data,6/11/2019,0.045,ug/L
Amargosa River at Upper Canyon,609AMR002,Lahontan,"Lead, Total",Insufficient data,3/15/2005,9.705,ug/L
Metcalf Creek Random Olsen Site 100,801MFC100,Santa Ana,"Lead, Total",Insufficient data,7/8/2015,0.05,ug/L
Amargosa River below Willow Cr,609AMR001,Lahontan,"Lead, Total",Insufficient data,3/16/2005,14.3,mg/Kg dw
La Avenida,205STE020,San Francisco Bay,"Lead, Total",Insufficient data,1/23/2003,0.165,ug/L
Crittendon Middle School,205PER020,San Francisco Bay,"Lead, Total",Insufficient data,5/11/2016,27.9,mg/Kg dw
Chestnut Picnic Area,205STE070,San Francisco Bay,"Lead, Total",Insufficient data,5/11/2016,12.5,mg/Kg dw
Coon Creek at Pecho Valley Road,310COO,Central Coast,"Lead, Total",Insufficient data,11/5/2015,0.05,ug/L
La Honda at Confluence,202SGR080,San Francisco Bay,"Lead, Total",Insufficient data,1/22/2003,0.056,ug/L
Downriver,Downriver,Santa Ana,"Lead, Total",Insufficient data,1/9/2019,0.25,ug/L
Lateral Unknown Drain 3 Tributary 0.9 miles west of Lack Rd,723STUD03,Colorado River,"Lead, Total",Insufficient data,4/9/2019,13.1,mg/Kg dw
Lateral Unknown Drain 2 Tributary 0.5 miles west of Lack Rd,723STUD02,Colorado River,"Lead, Total",Insufficient data,4/9/2019,10.2,mg/Kg dw
Lateral Unknown Drain 4 Tributary at Vail & W. Bowles,723STUD04,Colorado River,"Lead, Total",Insufficient data,4/9/2019,13.7,mg/Kg dw
Lake Oroville West Branch Arm at Lime Saddle Marina,518BUT210,Central Valley,"Lead, Total",Insufficient data,2/26/2019,6.51,ug/L
Piner Creek at Marlow Rd,114PI5786,North Coast,"Lead, Total",Insufficient data,11/15/2017,10.085,ug/L
Mark West Creek at Leslie Rd,114MW6173,North Coast,"Lead, Total",Insufficient data,11/16/2017,1.615,ug/L
Mark West Creek at Fulton Road,114MW3807,North Coast,"Lead, Total",Insufficient data,11/16/2017,0.675,ug/L
Atascadero Creek Highway 41,309ATS,Central Coast,"Lead, Total",Insufficient data,6/19/2018,0.1,ug/L
Salinas River At Bradley Bridge,309USA,Central Coast,"Lead, Total",Insufficient data,6/26/2018,0.1,ug/L
Salinas River @ Hwy 101 in King City,309KNG,Central Coast,"Lead, Total",Insufficient data,12/18/2018,0.035,ug/L
Salinas River Cattlemen Road near San Ardo,309DSA,Central Coast,"Lead, Total",Insufficient data,12/18/2018,0.035,ug/L
Nacimiento River at Highway 101,309NAC,Central Coast,"Lead, Total",Insufficient data,12/18/2018,0.035,ug/L
San Antonio River @ Hwy 101,309SAN,Central Coast,"Lead, Total",Insufficient data,12/18/2018,0.035,ug/L
Salinas River @ Hwy 1,309SBR,Central Coast,"Lead, Total",Insufficient data,12/11/2018,0.05,ug/L
Watsonville Creek @ Elkhorn Rd,306WAC,Central Coast,"Lead, Total",Insufficient data,12/11/2018,0.04,ug/L
Tembladero Slough @ Preston Rd,309TEM,Central Coast,"Lead, Total",Insufficient data,12/4/2018,10.7,ug/L
Salinas Reclamation Canal @ Boranda Rd,309ALD,Central Coast,"Lead, Total",Insufficient data,12/4/2018,6.275,ug/L
Salinas Reclamation Canal at Airport Rd,309ALU,Central Coast,"Lead, Total",Insufficient data,12/4/2018,5.59,ug/L
Santa Rita Creek @ Santa Rita Creek Park,309RTA,Central Coast,"Lead, Total",Insufficient data,12/4/2018,1.555,ug/L
Salinas Storm Drain upstream Davis Rd,309SDR,Central Coast,"Lead, Total",Insufficient data,12/4/2018,0.13,ug/L
Gabilan Creek @ Independence Rd and East Boranda Rd,309GAB,Central Coast,"Lead, Total",Insufficient data,12/4/2018,3.33,ug/L
Alamo River at Drop 3,723ARDP03,Colorado River,"Lead, Total",Insufficient data,11/15/2018,14,mg/Kg dw
Alamo River at Drop 6 Rose Drain,723ARDP06,Colorado River,"Lead, Total",Insufficient data,11/14/2018,14.3,mg/Kg dw
New River at Fig Drain,723NRFGDN,Colorado River,"Lead, Total",Insufficient data,11/14/2018,12.2,mg/Kg dw
New River at Greeson Drain,723NRGNDN,Colorado River,"Lead, Total",Insufficient data,11/14/2018,13.6,mg/Kg dw
Alamo River at Drop 8,723ARDP08,Colorado River,"Lead, Total",Insufficient data,11/14/2018,15.6,mg/Kg dw
New River at Hw 111,723NRH111,Colorado River,"Lead, Total",Insufficient data,11/14/2018,16.3,mg/Kg dw
New River at Rice Drain #3,723NRRCD3,Colorado River,"Lead, Total",Insufficient data,11/13/2018,12.5,mg/Kg dw
New River at Evan Hughes Hwy,723NREVHU,Colorado River,"Lead, Total",Insufficient data,11/13/2018,14.9,mg/Kg dw
Colorado River u/s Imperial Dam,715CRIDU1,Colorado River,"Lead, Total",Insufficient data,11/13/2018,15.4,mg/Kg dw
Palo Verde Diversion Dam,715CRPVDD,Colorado River,"Lead, Total",Insufficient data,11/12/2018,10.1,mg/Kg dw
Salinas River Elm Road in Greenfield,309GRN,Central Coast,"Lead, Total",Insufficient data,6/28/2018,0.715,ug/L
Salinas River at Chualar River Road,309SAC,Central Coast,"Lead, Total",Insufficient data,6/28/2018,1.31,ug/L
North Fork Garcia above Bridge 9,113GAR244,North Coast,"Lead, Total",Insufficient data,6/28/2010,0.015,ug/L
Garcia River above Signal Creek,113GAR015,North Coast,"Lead, Total",Insufficient data,9/9/2013,0.015,ug/L
Shank Rd. Wetlands Sed Basin 1,723SHWLS1,Colorado River,"Lead, Total",Insufficient data,8/14/2018,16.267,mg/Kg dw
Brawley Wetlan Sedimentation Basin,723BRWLSB,Colorado River,"Lead, Total",Insufficient data,8/13/2018,12.333,mg/Kg dw
Imperial Wetlands Sed Basin,723IMWLSB,Colorado River,"Lead, Total",Insufficient data,8/13/2018,19.25,mg/Kg dw
Imperial Wetlands Cell4,723IMWLC4,Colorado River,"Lead, Total",Insufficient data,10/18/2016,9.57,mg/Kg dw
Garcia River at SF Garcia River,113GAR046,North Coast,"Lead, Total",Insufficient data,6/18/2012,0.015,ug/L
South Fork Garcia River above Garcia River,113GAR110,North Coast,"Lead, Total",Insufficient data,6/18/2012,0.015,ug/L
Rancho San Antonio,205PER070,San Francisco Bay,"Lead, Total",Insufficient data,5/11/2016,5.56,mg/Kg dw
Salinas River at Highway 41,309SAT,Central Coast,"Lead, Total",Insufficient data,6/19/2018,0.1,ug/L
San Gregorio USGS Gage,202SGR010,San Francisco Bay,"Lead, Total",Insufficient data,1/22/2003,0.056,ug/L
West Fork Carson River downstream of impacted tributary confluence,633WFCR01,Lahontan,"Lead, Total",Insufficient data,5/10/2018,5,ug/L
West Fork Carson River upstream of impacted tributary confluence,633WFCR02,Lahontan,"Lead, Total",Insufficient data,5/10/2018,5,ug/L
Impacted tributary at culvert outfall on south side of Highway 88,633WFCT01,Lahontan,"Lead, Total",Insufficient data,5/10/2018,5,ug/L
Santa Rosa Creek at Willowside Road-114SR0761,114SR0761,North Coast,"Lead, Total",Insufficient data,11/16/2017,6.1,ug/L
"Petaluma River - Petaluma Village Premium Outlet Mall, just downstream of bridge leading into mall",206PET310,San Francisco Bay,"Lead, Total",Insufficient data,6/15/2016,6.835,mg/Kg dw
Russian River at Lake Mendocino Drive,114RR8709,North Coast,"Lead, Total",Insufficient data,11/30/2011,0.033,ug/L
Russian River at Vichy Springs Road,114RR8473,North Coast,"Lead, Total",Insufficient data,12/20/2017,0.135,ug/L
Big Sulphur Creek at River Road,114BS0310,North Coast,"Lead, Total",Insufficient data,11/30/2011,0.015,ug/L
Russian River above Cummiskey Creek,114RR6273_SWAMP,North Coast,"Lead, Total",Insufficient data,12/20/2017,0.03,ug/L
Mark West Creek at Mirabel,114MW0020,North Coast,"Lead, Total",Insufficient data,12/20/2017,0.1,ug/L
Aptos Creek at Nisene Marks Park Road,304APS,Central Coast,"Lead, Total",Insufficient data,12/19/2017,0.015,ug/L
San Vicente Creek at the gate at the end of San Vicente Creek Road,304SVC,Central Coast,"Lead, Total",Insufficient data,12/19/2017,0.12,ug/L
Soquel Creek at Soquel Creek Road,304SOU,Central Coast,"Lead, Total",Insufficient data,12/19/2017,0.015,ug/L
Valencia Creek upstream Aptos Creek Confluence,304VAL,Central Coast,"Lead, Total",Insufficient data,12/19/2017,0.05,ug/L
Scott Creek upstream Big Creek residences,304SCM,Central Coast,"Lead, Total",Insufficient data,12/19/2017,0.02,ug/L
San Benito at Y Road,305SAN,Central Coast,"Lead, Total",Insufficient data,12/12/2017,0.08,ug/L
Pajaro River at Porter/Main,305PJP,Central Coast,"Lead, Total",Insufficient data,12/12/2017,0.11,ug/L
Pajaro River at Murphy's Crossing,305MUR,Central Coast,"Lead, Total",Insufficient data,12/12/2017,0.07,ug/L
Salsipuedes Creek downstream of Corralitos Creek,305COR,Central Coast,"Lead, Total",Insufficient data,12/12/2017,0.29,ug/L
"San Benito River, Bridge downstream Willow Creek",305BRI,Central Coast,"Lead, Total",Insufficient data,12/12/2017,0.11,ug/L
San Juan Creek at Anzar Rd for RWB3 Site,305SJN,Central Coast,"Lead, Total",Insufficient data,12/12/2017,0.355,ug/L
Pajaro River at Chittenden Gap,305CHI,Central Coast,"Lead, Total",Insufficient data,12/12/2017,0.2,ug/L
Corralitos Creek at Brown Valley Road,305COR2,Central Coast,"Lead, Total",Insufficient data,12/12/2017,0.03,ug/L
Pajaro River at Frazier Lake Road,305FRA,Central Coast,"Lead, Total",Insufficient data,9/7/2017,1.78,ug/L
Pacheco Creek at San Felipe Road,305PAC,Central Coast,"Lead, Total",Insufficient data,3/2/2017,0.1,ug/L
Llagas Creek at Bloomfield Avenue,305LLA,Central Coast,"Lead, Total",Insufficient data,12/5/2017,0.06,ug/L
Furlong Creek at Frazier Lake Road,305FUF,Central Coast,"Lead, Total",Insufficient data,12/5/2017,0.44,ug/L
Pajaro River at Betabel Road,305PAJ,Central Coast,"Lead, Total",Insufficient data,12/5/2017,0.36,ug/L
Uvas Creek at Bloomfield Avenue,305UVA,Central Coast,"Lead, Total",Insufficient data,12/5/2017,0.42,ug/L
Watsonville Slough upstream Harkins Slough,305WSA,Central Coast,"Lead, Total",Insufficient data,9/7/2017,0.02,ug/L
